**Bursa Malaysia Stock Categories**

This table provides a comprehensive overview of stock categories for Bursa Malaysia, sourced from both Bursa Malaysia classifications and curated lists.

| Category ID                      | Category Name                       | Visibility | Type                    | Description                                                                                                                                                                                                                                                                                                      |
| :--------------------------------- | :------------------------------------ | :--------- | :---------------------- | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| consumer-products-and-services   | Consumer Products & Services        | main       | Bursa (Main)            | Stocks related to consumer products & services in Bursa Malaysia                                                                                                                                                                                                                                                    |
| pn17                               | PN17                                  | HIDE       | Custom                  | PN17 & GN3 Companies                                                                                                                                                                                                                                                                                           |
| steel                              | Steel                                 | main       | Custom                  | Stocks related to steels and metals in Bursa Malaysia.                                                                                                                                                                                                                                                           |
| metals                             | Metals                                | main       | Bursa (Secondary)       | Stocks related to metals and metal products including aluminium, steel, silicon and copper in Bursa Malaysia                                                                                                                                                                                                        |
| data-center-meps                   | Data Center MEPs                    | HIDE       | Custom                  | Stocks listed on Bursa Malaysia that are related to data center mechanical, electrical & plumbing engineering. This includes ventilation, air conditioning, cooling, power distribution, networking, and security. These companies indirectly benefit from the increasing adoption of artificial intelligence. |
| renewable-energy                   | Renewable Energy                      | main       | Bursa (Secondary)       | Stocks related to Renewable Energy (RE) production, such as providing equipments and services in Bursa Malaysia.                                                                                                                                                                                                 |
| renewable-energy-electricity       | Renewable Energy Electricity          | main       | Bursa (Secondary)       | Stocks related to produce or distribute electricity through Renewable Energy (RE) sources in Bursa Malaysia.                                                                                                                                                                                                      |
| energy                             | Energy                                | main       | Bursa (Main)            | Stocks related to energy in Bursa Malaysia                                                                                                                                                                                                                                                                        |
| technology-equipment               | Technology Equipment                  | main       | Bursa (Secondary)       | Stocks related to technology equipment (hardware) such as computers, servers, mainframes, workstations and related peripherals such as storage drives, motherboards, monitors, keyboards and printers in Bursa Malaysia                                                                                             |
| technology                         | Technology                            | main       | Bursa (Main)            | Stocks related to technology in Bursa Malaysia.                                                                                                                                                                                                                                                                 |
| personal-goods                     | Personal Goods                        | main       | Bursa (Secondary)       | Stocks related to personal goods in Bursa Malaysia, this includes manufacturers and distributors of textiles, apparel, footwear, jewelry, timepieces, accessories, cosmetics, personal care and tobacco.                                                                                                       |
| transportation-and-logistics-services | Transportation & Logistics Services | main       | Bursa (Secondary)       | Stocks related to transportation and logistics services including airports, train depots, ports and provider of courier services in Bursa Malaysia.                                                                                                                                                            |
| transportation-and-logistics       | Transportation & Logistics            | main       | Bursa (Main)            | Stocks related to transportation and logistics in Bursa Malaysia.                                                                                                                                                                                                                                                       |
| industrial-products-and-services   | Industrial Products & Services      | main       | Bursa (Main)            | Stocks related to industrial products & services in Bursa Malaysia                                                                                                                                                                                                                                                   |
| industrial-materials-components-and-equipment | Industrial Materials, Components & Equipment | main       | Bursa (Secondary)       | Stocks related to industrial materials, components and equipment such as machine tools, castings and molding equipment, presses, compressors, elevators and escalators in Bursa Malaysia.                                                                                                    |
| industrial-services                | Industrial Services                   | main       | Bursa (Secondary)       | Stocks related to industrial services in Bursa Malaysia.                                                                                                                                                                                                                                                            |
| electricity                        | Electricity                           | main       | Bursa (Secondary)       | Stocks related to electricity producer and distributor in Bursa Malaysia                                                                                                                                                                                                                                           |
| new-non-shariah                    | Newly Classified Shariah Non-Compliant Securities | HIDE       |                       | Stocks that have been revised into the list of shariah non-compliant securities by the Shariah Advisory Council of the Securities Commission Malaysia. This list is updated on 29 November 2024. Curated by iSaham.                                                                                    |
| new-shariah                        | Newly Classified Shariah-Compliant Securities     | HIDE       |                       | Stocks that have been revised into the list of shariah-compliant securities by the Shariah Advisory Council of the Securities Commission Malaysia. This list is updated on 29 November 2024. Curated by iSaham.                                                                                      |
| agricultural-products              | Agricultural Products                 | main       | Bursa (Secondary)       | Stocks that related to agriculture and agricultural products, such as livestock and fisheries in Bursa Malaysia.                                                                                                                                                                                                      |
| chemicals                          | Chemicals                             | main       | Bursa (Secondary)       | Stocks related to chemicals for industrial use in Bursa Malaysia. This includes plastics and rubber in their raw form or molded plastic products, polymers, adhesives, dyes, coatings and other chemicals for specialized applications                                                                       |
| cryptocurrency                     | Cryptocurrency                        | HIDE       | Custom                  | Stocks related to cryptocurrency, cryptography and blockchain technology in Bursa Malaysia                                                                                                                                                                                                                         |
| auto-parts                         | Auto Parts                            | main       | Bursa (Secondary)       | Stocks related to auto parts and automotive components for automobiles such as tires, batteries, engines, car interiors and other accessories in Bursa Malaysia                                                                                                                                              |
| solar-epcc                         | Solar EPCC                            | main       | Custom                  | Stocks related to solar project engineering, procurement, construction and commissioning (EPCC) and Large Scale Solar (LSS)                                                                                                                                                                                    |
| cloud-managed-services             | Cloud Managed Services                | main       | Custom                  | Stocks related to cloud managed services & solutions - total cost ownership (TCO) analysis, enterprise hosting & big data compute, deployment, migration, backup and cybersecurity                                                                                                                             |
| software                           | Software                              | main       | Bursa (Secondary)       | Stocks related to software development for specialized application including systems software, enterprise, technical software and mobile application in Bursa Malaysia.                                                                                                                                       |
| artificial-intelligence          | Artificial Intelligence             | main       | Custom                  | Stocks related to artificial intelligence (AI), data centre, cloud computing (managed, distributors), servers and chips in Bursa Malaysia.                                                                                                                                                                    |
| food-and-beverages                 | Food & Beverages                      | main       | Bursa (Secondary)       | Stocks related to food and beverages producers such as packaged foods, dairy products, brewers and soft drinks in Bursa Malaysia.                                                                                                                                                                                   |
| data-center-contractors            | Data Center Contractors               | HIDE       | Custom                  | Stocks listed on Bursa Malaysia that are related to data center contractors, mainly construction and infrastructure companies, indirectly benefit from the increasing adoption of artificial intelligence.                                                                                                    |
| work-from-home                     | Work-from-Home (WFH)                | main       |                       | Companies benefitting from the current work from home trend.                                                                                                                                                                                                                                                           |
| internet-of-things               | Internet of Things (IoT)              | main       |                       | Stocks that invest heavily on future technology, research and development and Internet of Things (IoT) in Bursa Malaysia.                                                                                                                                                                                               |
| semiconductors                     | Semiconductors                        | main       |                       | Stocks related to semiconductors and semiconductor equipment in Bursa Malaysia.                                                                                                                                                                                                                                          |
| industrial-engineering             | Industrial Engineering                | main       | Bursa (Secondary)       | Stocks related to industrial engineering in Bursa Malaysia. These companies manufacture and distribute heavy machineries and engineering equipments.                                                                                                                                                            |
| penny-stocks                       | Penny Stocks                          | main       | Custom                  | Stocks that have price of 50 cent and below in Bursa Malaysia.                                                                                                                                                                                                                                                           |
| disruptive-innovation            | Disruptive Innovation                 | HIDE       | Custom                  | Stocks that are related directly or indirectly to disruptive innovation in Bursa Malaysia.                                                                                                                                                                                                                             |
| etf                                | ETF                                   | main       |                       | Shariah-compliant exchange-traded funds in Bursa Malaysia.                                                                                                                                                                                                                                                              |
